meddra_pt,prior
Libido decreased,0.720575
Eye pain,0.718096
Vascular purpura,0.718096
Injection site reaction,0.716207
Lymphadenopathy,0.716207
Mouth ulceration,0.714933
Gastroenteritis,0.714291
Eczema,0.712347
Influenza like illness,0.711035
Vaginal infection,0.709042
Pulmonary oedema,0.708371
Dyskinesia,0.708371
Blood urea increased,0.707019
Hepatic function abnormal,0.706338
Skin exfoliation,0.705654
Phlebitis,0.705654
Fluid retention,0.704966
Ecchymosis,0.704274
Musculoskeletal pain,0.702178
Ear pain,0.702178
Neoplasm,0.701472
Dermatitis contact,0.701472
Wheezing,0.700048
Pulmonary embolism,0.700048
Depressed level of consciousness,0.700048
Dry eye,0.700048
Urine output increased,0.700048
Gynaecomastia,0.69933
Hypertonia,0.697884
Oesophagitis,0.697884
Disorientation,0.697884
Bladder pain,0.697884
Coma,0.695684
Rash maculo-papular,0.694942
Euphoric mood,0.694197
Hyperkinesia,0.691172
Atrioventricular block,0.691172
Lacrimation increased,0.691172
Blood uric acid increased,0.691172
Hearing impaired,0.689634
Salivary hypersecretion,0.689634
Aplastic anaemia,0.688858
Photophobia,0.688858
Hyperkalaemia,0.688078
Respiratory failure,0.687293
Musculoskeletal stiffness,0.687293
Vaginal inflammation,0.685709
Abnormal dreams,0.685709
Injection site pain,0.68491
Inflammation,0.68491
Urinary incontinence,0.684107
Hepatocellular injury,0.684107
Bone pain,0.683298
Ventricular tachycardia,0.682485
Chest discomfort,0.681666
Cystitis,0.681666
Leukocytosis,0.680843
Blood bilirubin increased,0.680843
Eructation,0.680843
Vasculitis,0.680843
Colitis,0.67918
Oropharyngeal pain,0.67918
Melaena,0.678341
Blood pressure increased,0.678341
Disturbance in attention,0.678341
Cataract,0.677497
Gastrooesophageal reflux disease,0.676647
Dysarthria,0.676647
Neck pain,0.675792
Cystitis noninfective,0.675792
Hyperbilirubinaemia,0.674931
Hiccups,0.674065
Gait disturbance,0.674065
Nightmare,0.673193
Protein urine present,0.671432
Gout,0.671432
Skin discolouration,0.670543
Dysmenorrhoea,0.669648
Pallor,0.668747
Muscle twitching,0.668747
Acne,0.66784
Ventricular extrasystoles,0.66784
Aggression,0.66784
Breast pain,0.66784
Dysphonia,0.66784
Hypercholesterolaemia,0.666926
Contusion,0.666926
Coordination abnormal,0.666926
Neoplasm malignant,0.666926
Liver injury,0.666006
Cellulitis,0.66508
Rectal haemorrhage,0.66508
Glossitis,0.66508
Proteinuria,0.66508
Herpes simplex,0.664148
Rash pustular,0.664148
Rhabdomyolysis,0.664148
Hepatic enzyme increased,0.664148
Hypocalcaemia,0.663209
Hyperuricaemia,0.663209
Drug interaction,0.662263
Feeling hot,0.66131
Nocturia,0.66131
Arthropathy,0.66131
Vasodilation procedure,0.660351
Eye irritation,0.660351
Jaundice cholestatic,0.660351
Tubulointerstitial nephritis,0.660351
Ulcer,0.659385
Viral infection,0.659385
Oliguria,0.658412
Endocrine disorder,0.656444
Bone disorder,0.654446
Sensory loss,0.653436
Extrapyramidal disorder,0.653436
Amenorrhoea,0.652418
Glycosuria,0.652418
Interstitial lung disease,0.652418
Cardiovascular disorder,0.65036
Thinking abnormal,0.65036
Petechiae,0.649318
Memory impairment,0.649318
Speech disorder,0.649318
Embolism,0.648269
Tenderness,0.648269
Blood disorder,0.648269
Rhinorrhoea,0.648269
Gamma-glutamyltransferase increased,0.646144
Apnoea,0.646144
Fungal infection,0.646144
Nephrolithiasis,0.646144
Blood triglycerides increased,0.645069
Herpes zoster,0.645069
Vaginal haemorrhage,0.645069
Pleural effusion,0.643986
Myocardial ischaemia,0.643986
Coagulopathy,0.643986
Myopathy,0.643986
Extrasystoles,0.641792
Metrorrhagia,0.641792
Menorrhagia,0.641792
Haemoptysis,0.640681
Thrombosis,0.640681
Cholestasis,0.640681
Skin ulcer,0.639561
Delirium,0.639561
Hepatotoxicity,0.639561
Glaucoma,0.639561
Abscess,0.638432
Mydriasis,0.638432
Hyperaesthesia,0.637293
Tongue disorder,0.637293
Ageusia,0.637293
Dermatitis atopic,0.636144
Optic neuritis,0.636144
Rash erythematous,0.634986
Extravasation,0.633817
Laryngeal pain,0.633817
Blood creatine phosphokinase increased,0.633817
Haemoglobin decreased,0.633817
Neuritis,0.632638
Oropharyngeal discomfort,0.632638
Scotoma,0.631448
Otitis media,0.631448
Hypercalcaemia,0.629037
Haematoma,0.629037
Mania,0.629037
Amblyopia,0.627815
Gingivitis,0.627815
Oral candidiasis,0.627815
Paralysis,0.627815
Ventricular fibrillation,0.626582
Burning sensation,0.625337
Laryngospasm,0.625337
Ventricular arrhythmia,0.62408
Transaminases increased,0.62408
Ileus,0.62408
Albuminuria,0.62408
Hepatomegaly,0.62408
Haematemesis,0.62408
Cyanosis,0.622812
Vaginal discharge,0.622812
Seborrhoeic dermatitis,0.621531
Necrosis,0.621531
Liver disorder,0.621531
Neuralgia,0.621531
Blister,0.621531
Folliculitis,0.620238
Paranoia,0.620238
Deep vein thrombosis,0.620238
Nephropathy toxic,0.620238
Peptic ulcer,0.618932
Blood lactate dehydrogenase increased,0.618932
Electrocardiogram QT prolonged,0.618932
Aphasia,0.617614
Laryngitis,0.617614
Hypoxia,0.617614
Pulmonary function test decreased,0.617614
Stupor,0.617614
Nail disorder,0.617614
Keratitis,0.617614
Nystagmus,0.617614
Delusion,0.616282
Respiratory depression,0.614937
Laryngeal oedema,0.614937
Cyst,0.613579
Breast enlargement,0.613579
Galactorrhoea,0.613579
Hyperlipidaemia,0.613579
Systemic lupus erythematosus,0.613579
Vulvovaginal mycotic infection,0.612206
Hypomagnesaemia,0.612206
Torsade de pointes,0.610819
Menstrual disorder,0.610819
Suicidal ideation,0.610819
Hypothyroidism,0.610819
Hyperventilation,0.609418
Intestinal obstruction,0.609418
Flat affect,0.609418
Mucosal inflammation,0.609418
Thrombocytosis,0.609418
Supraventricular tachycardia,0.608002
Cholelithiasis,0.608002
Psoriasis,0.608002
Febrile neutropenia,0.606571
Sneezing,0.606571
Parosmia,0.606571
Respiratory distress,0.605124
Electrocardiogram abnormal,0.603661
Apathy,0.603661
Depersonalisation,0.603661
Skin hyperpigmentation,0.602183
Hirsutism,0.602183
Toothache,0.602183
Anorectal discomfort,0.602183
Local reaction,0.600687
Tooth disorder,0.600687
Osteoporosis,0.600687
Polyp,0.600687
Haemorrhoids,0.600687
Encephalopathy,0.599175
Hypophosphataemia,0.599175
Drug eruption,0.597646
Embolism venous,0.596099
Hypertriglyceridaemia,0.596099
Pelvic pain,0.596099
Blindness,0.596099
Platelet count decreased,0.594533
Hypokinesia,0.594533
Libido increased,0.59295
Respiratory tract infection,0.59295
Menstruation irregular,0.59295
Blepharitis,0.591347
Vulvovaginal candidiasis,0.591347
Multiple fractures,0.589725
Fracture,0.589725
Lung disorder,0.589725
Cerebral haemorrhage,0.588083
Gingival bleeding,0.588083
Myoclonus,0.588083
Night sweats,0.588083
Akathisia,0.588083
Hepatic necrosis,0.588083
Pneumothorax,0.58642
Micturition urgency,0.58642
Completed suicide,0.58642
Cholecystitis,0.58642
Visual acuity reduced,0.58642
Generalised oedema,0.58642
Pseudomembranous colitis,0.58642
Hypernatraemia,0.584737
Throat irritation,0.583032
Amylase increased,0.581305
Lymphopenia,0.581305
Tongue oedema,0.579556
Sexual dysfunction,0.579556
Foetor hepaticus,0.579556
Urine analysis abnormal,0.579556
Application site pain,0.577784
Inappropriate antidiuretic hormone secretion,0.577784
Blood glucose increased,0.577784
Accommodation disorder,0.577784
Leukoderma,0.575987
Gastric ulcer,0.575987
Azotaemia,0.575987
Balance disorder,0.575987
White blood cell count decreased,0.575987
Pregnancy,0.574166
Transient ischaemic attack,0.574166
Nuchal rigidity,0.572321
Suicide attempt,0.572321
Neuroleptic malignant syndrome,0.572321
Sudden death,0.572321
Acidosis,0.568551
Renal pain,0.568551
Cardiomyopathy,0.568551
Faecal incontinence,0.568551
Hypothermia,0.566625
Body temperature decreased,0.566625
Priapism,0.566625
Hostility,0.566625
Hypotonia,0.566625
Intraocular pressure increased,0.566625
Ear disorder,0.566625
Sinus congestion,0.564671
Parkinsonism,0.564671
Proctalgia,0.564671
Bundle branch block,0.564671
Serum sickness,0.562689
Drug withdrawal syndrome,0.562689
Impaired healing,0.562689
Joint swelling,0.562689
Nephrotic syndrome,0.562689
Induration,0.560676
Paraesthesia oral,0.560676
Epigastric discomfort,0.560676
Cognitive disorder,0.560676
Nephropathy,0.560676
Urine abnormality,0.560676
Lung infiltration,0.560676
Eyelid oedema,0.558633
Endophthalmitis,0.558633
Bursitis,0.558633
Myositis,0.558633
Furuncle,0.558633
Nasal discomfort,0.558633
Anorectal disorder,0.558633
Sinus bradycardia,0.558633
Osteonecrosis,0.558633
Peripheral vascular disorder,0.556558
Intracranial pressure increased,0.556558
Prurigo,0.556558
Pericarditis,0.556558
Pulmonary fibrosis,0.556558
Eye haemorrhage,0.556558
Tongue discolouration,0.556558
Muscle rigidity,0.554451
Pruritus genital,0.554451
Pancreatitis acute,0.554451
Haemorrhage intracranial,0.55231
Ocular hyperaemia,0.55231
Muscle relaxant therapy,0.55231
Cold sweat,0.55231
Aphthous stomatitis,0.55231
Cerebral ischaemia,0.55231
Leukocytoclastic vasculitis,0.55231
Fluid overload,0.550134
Grand mal convulsion,0.550134
Peripheral coldness,0.550134
Altered state of consciousness,0.550134
Bacterial infection,0.550134
Thrombocytopenic purpura,0.550134
Hyperreflexia,0.547922
Muscle contractions involuntary,0.547922
Prothrombin level increased,0.547922
Skin striae,0.547922
Conjunctival hyperaemia,0.545672
Duodenal ulcer,0.545672
Breast cancer,0.545672
Skin irritation,0.545672
Erythema nodosum,0.545672
Hypertrichosis,0.545672
Skin atrophy,0.545672
Eye pruritus,0.543385
Ear infection,0.541057
Meningitis,0.541057
Lacrimal disorder,0.541057
Opportunistic infection,0.541057
Haematocrit decreased,0.541057
Respiratory arrest,0.538689
Swelling face,0.538689
Rash generalised,0.538689
Loss of libido,0.538689
Hyporeflexia,0.538689
Arrhythmia supraventricular,0.538689
VIIth nerve paralysis,0.538689
Application site reaction,0.536277
Throat tightness,0.536277
Tooth abscess,0.536277
Musculoskeletal chest pain,0.536277
Depressed mood,0.536277
Goitre,0.536277
Dementia,0.536277
Electrolyte imbalance,0.536277
Fungal skin infection,0.536277
Hernia,0.536277
Dysaesthesia,0.533822
Hyperthyroidism,0.533822
Epilepsy,0.533822
Haematochezia,0.533822
Metabolic acidosis,0.533822
Ileus paralytic,0.533822
Coronary artery disease,0.53132
Rash macular,0.53132
Personality disorder,0.53132
Neurotoxicity,0.53132
Pericardial effusion,0.53132
Cheilitis,0.53132
Miosis,0.53132
Ascites,0.528771
Prostatic disorder,0.528771
Injection site inflammation,0.528771
Dental caries,0.528771
Flank pain,0.528771
Dysphoria,0.528771
Cerebrovascular disorder,0.528771
Dry throat,0.528771
Rales,0.528771
Blood potassium decreased,0.528771
Hepatitis cholestatic,0.528771
Periorbital oedema,0.528771
Disseminated intravascular coagulation,0.526173
Hypochromic anaemia,0.526173
Oesophageal ulcer,0.526173
Urinary hesitation,0.526173
Dermatitis acneiform,0.526173
Blood cholesterol increased,0.526173
Sinus tachycardia,0.523523
Nasal dryness,0.523523
Respiratory tract congestion,0.523523
Developmental delay,0.523523
Injection site haemorrhage,0.520819
Ejaculation disorder,0.520819
Skin necrosis,0.520819
Drug hypersensitivity,0.520819
Pruritus generalised,0.520819
Traumatic liver injury,0.520819
Rectal tenesmus,0.520819
Laboratory test abnormal,0.520819
Atrophy,0.520819
Oculogyric crisis,0.520819
Abdominal pain lower,0.51806
Breast tenderness,0.51806
Instillation site pain,0.51806
Tendonitis,0.51806
Incontinence,0.51806
Varicose vein,0.51806
Cardio-respiratory arrest,0.51806
Withdrawal syndrome,0.51806
Nephritis,0.51806
Non-Hodgkin's lymphoma,0.51806
Iritis,0.51806
Retinal disorder,0.51806
Skin hypertrophy,0.515242
Atrioventricular block first degree,0.515242
Gastrointestinal tract irritation,0.515242
Paresis,0.515242
Pyelonephritis,0.515242
Papilloedema,0.515242
Rash papular,0.515242
Atrial flutter,0.515242
Lymphoma,0.515242
Emotional distress,0.515242
Feeling jittery,0.512364
Congenital anomaly,0.512364
Glossodynia,0.512364
Abnormal behaviour,0.512364
Hepatic steatosis,0.512364
Miliaria,0.512364
Hyperpyrexia,0.512364
Drug dependence,0.509423
Yawning,0.509423
Tardive dyskinesia,0.509423
Pigmentation disorder,0.509423
Peripheral ischaemia,0.509423
Cardiomegaly,0.509423
Neurosis,0.509423
Supraventricular extrasystoles,0.506415
Tachypnoea,0.506415
Breath odour,0.506415
Musculoskeletal disorder,0.506415
Sinus headache,0.506415
Ischaemia,0.506415
Cataract subcapsular,0.506415
Hypoventilation,0.506415
Skin cancer,0.503339
Venous thrombosis,0.503339
Hyperacusis,0.503339
Uterine haemorrhage,0.503339
Glucose tolerance impaired,0.503339
Benign intracranial hypertension,0.503339
Cerebral infarction,0.503339
Pulmonary hypertension,0.503339
Tenosynovitis,0.503339
Sensitisation,0.50019
Pain in jaw,0.50019
Anuria,0.50019
Nodule,0.50019
Anger,0.50019
Micturition disorder,0.50019
Procedural pain,0.50019
Local swelling,0.50019
Acute respiratory distress syndrome,0.50019
Uveitis,0.50019
Pyuria,0.50019
Intermittent claudication,0.50019
Serotonin syndrome,0.50019
Polydipsia,0.50019
Chromaturia,0.50019
Peritonitis,0.496965
Skin papilloma,0.496965
Intestinal perforation,0.496965
Hypovolaemia,0.496965
Sensation of foreign body,0.496965
Cardiac murmur,0.496965
Acute leukaemia,0.496965
Atelectasis,0.496965
Trismus,0.496965
Dizziness postural,0.496965
Lower respiratory tract infection,0.496965
Excoriation,0.493661
Vasospasm,0.493661
Enterocolitis,0.493661
Eye swelling,0.493661
Retching,0.493661
Stridor,0.493661
Polyneuropathy,0.493661
Azoospermia,0.493661
Autoimmune disorder,0.493661
Conjunctival oedema,0.493661
Enteritis,0.493661
Blood potassium increased,0.493661
Skin odour abnormal,0.490273
Joint stiffness,0.490273
Swollen tongue,0.490273
Hemiplegia,0.490273
Renal tubular necrosis,0.490273
Skin mass,0.490273
Septic shock,0.490273
Conjunctival haemorrhage,0.490273
Telangiectasia,0.490273
Retinal haemorrhage,0.490273
Alcohol intolerance,0.490273
Hypoaesthesia oral,0.486796
Peripheral sensory neuropathy,0.486796
Dependence,0.486796
Multi-organ failure,0.486796
Breast feeding,0.486796
Epididymitis,0.486796
Brain oedema,0.483228
Presyncope,0.483228
Lipase increased,0.483228
Hyperphosphataemia,0.483228
Infarction,0.483228
Dyspnoea exertional,0.483228
Malignant melanoma,0.483228
Rheumatoid arthritis,0.483228
Scab,0.479561
Splenomegaly,0.479561
Injection site swelling,0.479561
Panic attack,0.479561
Diverticulitis,0.479561
Toxicity to various agents,0.479561
Colitis ischaemic,0.479561
Abnormal faeces,0.479561
Skin infection,0.479561
Hypoproteinaemia,0.479561
Lymphocytosis,0.479561
Photopsia,0.479561
Otitis externa,0.479561
Atrioventricular block complete,0.475791
Skin lesion,0.475791
Neurological symptom,0.475791
Angle closure glaucoma,0.475791
Herpes virus infection,0.475791
Oral pain,0.475791
Hypomania,0.475791
Pulmonary congestion,0.475791
Eye infection,0.475791
Uterine leiomyoma,0.475791
Lacrimal structural disorder,0.475791
Increased bronchial secretion,0.475791
Electrocardiogram change,0.475791
Torticollis,0.475791
Duodenitis,0.475791
Hypertensive crisis,0.475791
Application site irritation,0.471912
Hyperkeratosis,0.471912
Hyperaemia,0.471912
Sciatica,0.471912
Sensory disturbance,0.471912
Tumour lysis syndrome,0.471912
Feeling cold,0.471912
Catatonia,0.471912
Salivary gland enlargement,0.471912
Antinuclear antibody positive,0.471912
Fibrosis,0.467917
Leukaemia,0.467917
Drug abuse,0.467917
Ovarian cyst,0.467917
Lipohypertrophy,0.467917
Growth retardation,0.467917
Renal failure chronic,0.467917
Henoch-Schonlein purpura,0.467917
Ulcerative keratitis,0.467917
Neutrophil count decreased,0.467917
Sunburn,0.463799
Atrioventricular block second degree,0.463799
Hypersomnia,0.463799
Tetany,0.463799
Injection site erythema,0.463799
Tendon rupture,0.463799
Hyperlactacidaemia,0.463799
Chronic obstructive pulmonary disease,0.463799
Cushing's syndrome,0.463799
Muscle atrophy,0.463799
Abdominal tenderness,0.45955
Major depression,0.45955
Enuresis,0.45955
Akinesia,0.45955
Viral diarrhoea,0.45955
Vulvovaginal pruritus,0.45955
Arterial thrombosis,0.45955
Thrombotic thrombocytopenic purpura,0.45955
Meningitis aseptic,0.45955
Sputum increased,0.45955
Exophthalmos,0.45955
Pulmonary haemorrhage,0.45955
Hypoalbuminaemia,0.45955
Punctate keratitis,0.45955
Rhinitis allergic,0.45955
Pemphigus,0.45955
Red blood cell sedimentation rate increased,0.45955
Retinal detachment,0.45955
Blood albumin decreased,0.45955
Movement disorder,0.45955
Gastrointestinal perforation,0.45955
Corneal oedema,0.455162
Laceration,0.455162
Heart rate irregular,0.455162
Gingival pain,0.455162
Pain of skin,0.455162
Application site erythema,0.455162
Breast neoplasm,0.455162
Lactic acidosis,0.455162
Methaemoglobinaemia,0.455162
Cutaneous vasculitis,0.455162
Pulmonary eosinophilia,0.455162
Cachexia,0.455162
Lymphoedema,0.455162
Gingival hyperplasia,0.455162
Lipodystrophy acquired,0.455162
Alveolitis allergic,0.455162
Cardiac fibrillation,0.455162
Choreoathetosis,0.455162
Corneal opacity,0.450625
Regurgitation,0.450625
Bruxism,0.450625
Basal cell carcinoma,0.450625
Rhinitis seasonal,0.450625
Tonsillitis,0.450625
Tendon disorder,0.450625
Porphyrin metabolism disorder,0.450625
Endometrial cancer,0.450625
Anaemia megaloblastic,0.450625
Restless legs syndrome,0.450625
Faecalith,0.450625
Faecaloma,0.450625
Bleeding time prolonged,0.450625
Pharyngeal oedema,0.450625
Oral herpes,0.450625
Colitis ulcerative,0.450625
Breath sounds abnormal,0.450625
Diarrhoea haemorrhagic,0.450625
Oral disorder,0.450625
Hyperprolactinaemia,0.450625
Xerophthalmia,0.450625
Superinfection,0.450625
Angina unstable,0.450625
Biliary colic,0.450625
"Hallucination, visual",0.450625
Disease progression,0.445929
Seasonal allergy,0.445929
Vasculitis necrotising,0.445929
Gangrene,0.445929
Proctocolitis,0.445929
Myocarditis,0.445929
Crystalluria,0.445929
Osteomyelitis,0.445929
Sialoadenitis,0.445929
Prostate cancer,0.445929
Application site pruritus,0.441062
Obstructive airways disorder,0.441062
Carpal tunnel syndrome,0.441062
Premenstrual syndrome,0.441062
Nerve injury,0.441062
Breast discharge,0.441062
Personality change,0.441062
Cardiotoxicity,0.441062
Pneumonia aspiration,0.441062
Myasthenia gravis,0.441062
Post procedural haemorrhage,0.441062
Localised oedema,0.441062
Myelodysplastic syndrome,0.441062
Mastitis,0.441062
Functional gastrointestinal disorder,0.441062
Strangury,0.441062
Adrenal insufficiency,0.441062
Panophthalmitis,0.441062
Rosacea,0.441062
Blood prolactin increased,0.441062
Application site burn,0.441062
Osteopenia,0.441062
Suicidal behaviour,0.441062
Blood urine present,0.441062
Polycythaemia,0.441062
Anorgasmia,0.441062
Device related infection,0.436012
Haemolysis,0.436012
Testicular pain,0.436012
Surgery,0.436012
Blood calcium decreased,0.436012
Vitreous floaters,0.436012
Chorea,0.436012
Productive cough,0.436012
Infertility,0.436012
Tracheobronchitis,0.436012
High density lipoprotein decreased,0.436012
Skin burning sensation,0.436012
Macular oedema,0.436012
Proctitis,0.436012
Gravitational oedema,0.436012
Upper-airway cough syndrome,0.436012
Secondary adrenocortical insufficiency,0.436012
Pleurisy,0.436012
Ocular discomfort,0.436012
Bronchial hyperreactivity,0.436012
Eye discharge,0.436012
Haemorrhagic disorder,0.436012
Urethritis,0.436012
Application site rash,0.430763
Pleuritic pain,0.430763
Emotional disorder,0.430763
Chloasma,0.430763
Porphyria non-acute,0.430763
Genital candidiasis,0.430763
Pulmonary toxicity,0.430763
Bacteraemia,0.430763
Subarachnoid haemorrhage,0.430763
Night blindness,0.430763
Haemolytic uraemic syndrome,0.430763
Lupus-like syndrome,0.430763
Acute generalised exanthematous pustulosis,0.430763
Infusion site pain,0.430763
Autonomic neuropathy,0.430763
Status epilepticus,0.430763
Retroperitoneal haemorrhage,0.430763
Vulvovaginal dryness,0.430763
Corneal erosion,0.430763
Blood glucose decreased,0.430763
Hepatic cancer,0.430763
Obesity,0.430763
Urethritis noninfective,0.430763
Impaired gastric emptying,0.4253
Electrocardiogram ST segment depression,0.4253
Poisoning,0.4253
Menopause,0.4253
Frequent bowel movements,0.4253
Ligament sprain,0.4253
Muscle tightness,0.4253
Thrombophlebitis superficial,0.4253
Ovarian cancer,0.4253
Ototoxicity,0.4253
Subdural haematoma,0.4253
Cardiogenic shock,0.4253
Mental status changes,0.4253
Conduction disorder,0.4253
Blepharospasm,0.4253
Autonomic nervous system imbalance,0.4253
Conversion disorder,0.4253
Iron deficiency anaemia,0.4253
Blood creatinine decreased,0.4253
Squamous cell carcinoma,0.4253
Metabolic disorder,0.4253
Hair disorder,0.4253
Lung neoplasm malignant,0.4253
Hemiparesis,0.419604
Sinus arrest,0.419604
Fibrocystic breast disease,0.419604
Gallbladder disorder,0.419604
Guillain-Barre syndrome,0.419604
Piloerection,0.419604
Recall phenomenon,0.419604
Hangover,0.419604
Mental retardation,0.419604
Clostridium difficile colitis,0.419604
Anosmia,0.419604
Congenital eye disorder,0.419604
Opisthotonus,0.419604
Acute myocardial infarction,0.419604
Irritable bowel syndrome,0.419604
Crying,0.419604
White blood cell count increased,0.419604
Penis disorder,0.413656
Anal pruritus,0.413656
Vulvovaginitis,0.413656
Glucose tolerance decreased,0.413656
Blood pressure fluctuation,0.413656
Sticky skin,0.413656
Arachnoiditis,0.413656
Monoplegia,0.413656
Basedow's disease,0.413656
Mucous membrane disorder,0.413656
Hepatitis B,0.413656
Hepatitis fulminant,0.413656
Corneal deposits,0.413656
Parotid gland enlargement,0.413656
Lip swelling,0.413656
Testicular atrophy,0.413656
Ejaculation failure,0.413656
Vulvovaginal discomfort,0.40743
Prostatitis,0.40743
Rash vesicular,0.40743
Depressive symptom,0.40743
Electroencephalogram abnormal,0.40743
Increased tendency to bruise,0.40743
Condition aggravated,0.40743
Diplegia,0.40743
Tongue ulceration,0.40743
Exfoliative rash,0.40743
Optic atrophy,0.40743
Cystitis haemorrhagic,0.40743
Neutropenic sepsis,0.40743
Metastatic neoplasm,0.40743
Myopia,0.40743
Nitrogen balance negative,0.40743
Cardiac valve disease,0.40743
Sleep apnoea syndrome,0.40743
Lenticular opacities,0.40743
Eye oedema,0.40743
Iridocyclitis,0.40743
Tuberculosis,0.40743
Cogwheel rigidity,0.40743
Hepatocellular carcinoma,0.40743
Posterior reversible encephalopathy syndrome,0.40743
Bladder cancer,0.40743
Vestibular disorder,0.40743
Eosinophil count increased,0.40743
Panic reaction,0.400901
Hair colour changes,0.400901
Breast engorgement,0.400901
Carbohydrate tolerance decreased,0.400901
Staphylococcal infection,0.400901
Cerebellar syndrome,0.400901
Paraplegia,0.400901
