hpo_id	hpo_strings	pt_code	pt_name	method	n_candidates	candidate_pt_codes	candidate_pt_names
HP:0000790	Hematuria|Blood in urine|High urine occult blood			no_match	0		
HP:0000795	Abnormality of the urethra|Urethra issue			no_match	0		
HP:0000822	Hypertension|Arterial hypertension|High blood pressure|Systemic hypertension			no_match	0		
HP:0000873	Diabetes insipidus			no_match	0		
HP:0000962	Hyperkeratosis|Epidermal hyperkeratosis			no_match	0		
HP:0000975	Hyperhidrosis|Diaphoresis|Excessive sweating|Increased sweating|Profuse sweating|Sweating|Sweating profusely|Sweating, increased			no_match	0		
HP:0000988	Skin rash|Rash	Rash	Rash	override	1	Rash	Rash
HP:0001061	Acne|Breaking out			no_match	0		
HP:0001097	Keratoconjunctivitis sicca|Dry eye syndrome|Dry eyes|Keratitis sicca|Xerophthalmia			no_match	0		
HP:0001101	Iritis|Inflammation of iris			no_match	0		
HP:0001123	Visual field defect|Partial loss of field of vision|Visual field defects			no_match	0		
HP:0001250	Seizure|Epilepsy|Epileptic seizure|Seizures			no_match	0		
HP:0001251	Ataxia|Cerebellar ataxia	Ataxia	Ataxia	unique_auto_match	1	Ataxia	Ataxia
HP:0001260	Dysarthria|Difficulty articulating speech|Dysarthric speech			no_match	0		
HP:0001269	Hemiparesis|Weakness of one side of body			no_match	0		
HP:0001287	Meningitis			no_match	0		
HP:0001288	Gait disturbance|Abnormal gait|Abnormal walk|Difficulty in walking|Gait abnormalities|Gait difficulties|Gait disturbances|Impaired gait|Walking disability			no_match	0		
HP:0001289	Confusion|Disorientation|Easily confused|Mental disorientation			no_match	0		
HP:0001297	Stroke|Cerebral vascular events|Cerebrovascular accident|Cerebrovascular accidents			no_match	0		
HP:0001324	Muscle weakness|Muscular weakness			ambiguous	2	Muscular weakness|Myopathy	Muscular weakness|Myopathy
HP:0001347	Hyperreflexia|Increased deep tendon reflexes|Increased reflexes			no_match	0		
HP:0001369	Arthritis|Joint inflammation			no_match	0		
HP:0001386	Joint swelling			no_match	0		
HP:0001387	Joint stiffness|Stiff joint|Stiff joints			no_match	0		
HP:0001399	Hepatic failure|Hepatic insufficiency|Liver failure	Hepatic failure	Hepatic failure	unique_auto_match	1	Hepatic failure	Hepatic failure
HP:0001426	Non-Mendelian inheritance|Familial predisposition			no_match	0		
HP:0001482	Subcutaneous nodule|Firm lump under the skin|Growth of abnormal tissue under the skin|Multiple, subcutaneous nodules|Nodule below the skin|Subcutaneous nodules			no_match	0		
HP:0001596	Alopecia|Hair loss			no_match	0		
HP:0001597	Abnormal nail morphology|Abnormality of the nail|Nail disease			no_match	0		
HP:0001635	Congestive heart failure|Cardiac failure|Cardiac failures|Cardiac insufficiency|CHF|Chronic heart failure|Heart failure			no_match	0		
HP:0001637	Abnormal myocardium morphology|Abnormality of the myocardium			no_match	0		
HP:0001644	Dilated cardiomyopathy|Cardiomyopathy, dilated|Congestive cardiomyopathy|DCM|Stretched and thinned heart muscle			no_match	0		
HP:0001645	Sudden cardiac death|Premature sudden cardiac death			no_match	0		
HP:0001646	Abnormal aortic valve morphology|Abnormality of the aortic valve			no_match	0		
HP:0001653	Mitral regurgitation|Mitral incompetence|Mitral insufficiency|Mitral regurgitation, mild|Mitral valve insufficiency|Mitral valve regurgitation			no_match	0		
HP:0001654	Abnormal heart valve morphology|Abnormality of the heart valves|Valvular abnormality|Valvular heart disease			no_match	0		
HP:0001658	Myocardial infarction|Heart attack|MI			no_match	0		
HP:0001659	Aortic regurgitation|Aortic insufficiency|Aortic valve regurgitation			no_match	0		
HP:0001701	Pericarditis|Swelling or irritation of membrane around heart			no_match	0		
HP:0001733	Pancreatitis|Pancreatic inflammation			no_match	0		
HP:0001744	Splenomegaly|Increased spleen size|Large spleen			no_match	0		
HP:0001824	Weight loss|Loss of weight			no_match	0		
HP:0001872	Abnormality of thrombocytes|Blood platelet disease|Platelet abnormalities|Thrombasthenia			no_match	0		
HP:0001873	Thrombocytopenia|Low platelet count	Thrombocytopenia	Thrombocytopenia	override	1	Thrombocytopenia	Thrombocytopenia
HP:0001874	Abnormality of neutrophils|Abnormality of neutrophil|Abnormality of polymorphonuclear neutrophils			no_match	0		
HP:0001903	Anemia|Anaemia|Decreased haemoglobin|Decreased hemoglobin|Low number of red blood cells or haemoglobin|Low number of red blood cells or hemoglobin			no_match	0		
HP:0001920	Renal artery stenosis|Narrowing of kidney artery			no_match	0		
HP:0001945	Fever|Hyperthermia|Pyrexia	Pyrexia	Pyrexia	unique_auto_match	1	Pyrexia	Pyrexia
HP:0001954	Recurrent fever|Episodic fever|Hyperthermia, episodic|Increased body temperature, episodic|Intermittent fever			no_match	0		
HP:0001960	Hypokalemic metabolic alkalosis			no_match	0		
HP:0002014	Diarrhea|Diarrhoea|Watery stool	Diarrhoea	Diarrhoea	unique_auto_match	1	Diarrhoea	Diarrhoea
HP:0002015	Dysphagia|Deglutition disorder|Difficulty swallowing|Poor swallowing|Swallowing difficulties|Swallowing difficulty			no_match	0		
HP:0002017	Nausea and vomiting			no_match	0		
HP:0002024	Malabsorption|Intestinal malabsorption			no_match	0		
HP:0002027	Abdominal pain|Abdominal discomfort|Gastro pain|Gastrointestinal pain|Pain in stomach|Stomach pain|Upset stomach			no_match	0		
HP:0002037	Inflammation of the large intestine|Inflammatory bowel disease			no_match	0		
HP:0002039	Anorexia|Deliberately not eating|Obsessive dieting|Refusing to eat			no_match	0		
HP:0002043	Esophageal stricture|Narrowing of esophagus due to inflammation and scar tissue|Narrowing of oesophagus due to inflammation and scar tissue			no_match	0		
HP:0002076	Migraine|Intermittent migraine headaches|Migraine headache|Migraine headaches			no_match	0		
HP:0002091	Restrictive ventilatory defect|Restrictive deficit on pulmonary function testing|Restrictive deficit on pulmonary function tests|Restrictive lung disease|Restrictive respiratory disease|Restrictive respiratory insufficiency|Restrictive respiratory syndrome|Spirometric restriction|Stiff lung or chest wall causing decreased lung volume			no_match	0		
HP:0002092	Pulmonary arterial hypertension|Increased blood pressure in blood vessels of lungs|Primary pulmonary hypertension|Pulmonary artery hypertension			no_match	0		
HP:0002093	Respiratory insufficiency|Respiratory function loss|Respiratory impairment			no_match	0		
HP:0002094	Dyspnea|Abnormal breathing|Breathing difficulty|Difficult to breathe|Difficulty breathing|Dyspnoea|Panting|Shortness of breath|Trouble breathing			no_match	0		
HP:0002102	Pleuritis|Inflammation of tissues lining lungs and chest|Pleurisy			no_match	0		
HP:0002103	Abnormal pleura morphology|Abnormality of the pleura			no_match	0		
HP:0002105	Hemoptysis|Coughing up blood|Coughing up blood or blood-stained mucus|Haemoptysis			no_match	0		
HP:0002113	Pulmonary infiltrates|Lung infiltrates|Pulmonic infiltration			no_match	0		
HP:0002167	Abnormal speech pattern|Abnormal speech|Abnormal vocalisation|Abnormal vocalization|Abnormality of speech or vocalization			no_match	0		
HP:0002202	Pleural effusion|Fluid around lungs			no_match	0		
HP:0002204	Pulmonary embolism|Blood clot in artery of lung			no_match	0		
HP:0002205	Recurrent respiratory infections|Frequent respiratory infections|Multiple respiratory infections|respiratory infections, recurrent|Susceptibility to respiratory infections			no_match	0		
HP:0002206	Pulmonary fibrosis|Pulmonary scarring			no_match	0		
HP:0002239	Gastrointestinal hemorrhage|Gastrointestinal bleeding|Gastrointestinal haemorrhage|GI haemorrhage|GI hemorrhage			no_match	0		
HP:0002315	Headache|Headaches			no_match	0		
HP:0002321	Vertigo|Dizziness|Dizzy spell	Dizziness	Dizziness	override	1	Dizziness	Dizziness
HP:0002326	Transient ischemic attack|Mini stroke|TIA|Transient ischaemic attack|Transient ischaemic attacks|Transient ischemic attacks			no_match	0		
HP:0002354	Memory impairment|Amnesia|Forgetfulness|Memory loss|Memory problems|Poor memory			no_match	0		
HP:0002367	Visual hallucination|Visual hallucinations			no_match	0		
HP:0002376	Developmental regression|Loss of acquired milestones|Loss of developmental milestones|Loss of milestones|Mental deterioration in childhood|Neurodevelopmental regression|Psychomotor regression|Psychomotor regression beginning in infancy|Psychomotor regression in infants|Psychomotor regression, progressive			no_match	0		
HP:0002383	Infectious encephalitis|Brain inflammation			no_match	0		
HP:0002516	Increased intracranial pressure|Intracranial hypertension|Intracranial pressure elevation|Pseudotumor cerebri|Rise in pressure inside skull			no_match	0		
HP:0002617	Vascular dilatation|Aneurysm|Aneurysmal dilatation|Aneurysmal disease|Aneurysms|Wider than typical opening or gap			no_match	0		
HP:0002633	Vasculitis|Angiitis|Inflammation of blood vessel			no_match	0		
HP:0002637	Cerebral ischemia|Brain ischemia|Cerebrovascular ischemia|Disruption of blood oxygen supply to brain			no_match	0		
HP:0002638	Superficial thrombophlebitis			no_match	0		
HP:0002647	Aortic dissection|Tear in inner wall of large artery that carries blood away from heart			no_match	0		
HP:0002716	Lymphadenopathy|Lymph node hyperplasia|Swollen lymph nodes			no_match	0		
HP:0002754	Osteomyelitis|Bone infection			no_match	0		
HP:0002808	Kyphosis|Gibbus deformity|Hunched back|Hyperkyphosis|Round back			no_match	0		
HP:0002829	Arthralgia|Arthralgias|Arthritic pain|Joint pain|Joint pains	Arthralgia	Arthralgia	override	1	Arthralgia	Arthralgia
HP:0002910	Elevated circulating hepatic transaminase concentration|Abnormal liver enzymes|Abnormal liver function|Abnormal liver function tests|Elevated circulating hepatic transaminase activity|Elevated liver enzymes|Elevated liver function tests|Elevated serum transaminases|Elevated transaminases|High liver enzymes|Increased liver enzymes|Increased liver function tests|Increased transaminases|Raised liver enzymes|Subclinical abnormal liver function tests	Alanine aminotransferase increased	Alanine aminotransferase increased	unique_auto_match	1	Alanine aminotransferase increased	Alanine aminotransferase increased
HP:0002923	Rheumatoid factor positive			no_match	0		
HP:0003249	Genital ulcers			no_match	0		
HP:0003326	Myalgia|Muscle ache|Muscle pain|Myalgias	Myalgia	Myalgia	override	1	Myalgia	Myalgia
HP:0003401	Paresthesia|Paresthesias|Pins and needles feeling|Tingling			no_match	0		
HP:0003418	Back pain			no_match	0		
HP:0003419	Low back pain|Lower back pain|Lumbago			no_match	0		
HP:0003565	Elevated erythrocyte sedimentation rate|Elevated ESR|Elevated sedimentation rate|High erythrocyte sedimentation rate|High ESR|Increased erythrocyte sedimentation rate|Raised erythrocyte sedimentation rate			no_match	0		
HP:0003765	Psoriasiform dermatitis|Psoriasis			no_match	0		
HP:0003781	Excessive salivation|Excessive production of saliva|Hypersalivation|Mouth watering|Oversalivation|Ptyalism|Watery mouth			no_match	0		
HP:0004306	Abnormal endocardium morphology|Abnormality of the endocardium|Abnormality of the endomycoardium			no_match	0		
HP:0004372	Reduced consciousness|Disturbances of consciousness|Lowered consciousness|Reduced consciousness/confusion			no_match	0		
HP:0004417	Intermittent claudication			no_match	0		
HP:0004420	Arterial thrombosis|Blood clot in artery			no_match	0		
HP:0004936	Venous thrombosis|Blood clot in vein			no_match	0		
HP:0004970	Ascending tubular aorta aneurysm|Aneurysm of the ascending tubular aorta|Ascending aorta dilation|Ascending aortic aneurysm|Ascending aortic dilation|Bulging of wall of large artery located above heart|Dilatation of ascending aorta			no_match	0		
HP:0005112	Abdominal aortic aneurysm|Dilatation of the abdominal aorta			no_match	0		
HP:0005216	Impaired mastication|Chewing difficulties|Chewing difficulty|Difficulty chewing			no_match	0		
HP:0005244	Gastrointestinal infarctions|Death of digestive organ tissue due to poor blood supply|GI infarctions			no_match	0		
HP:0005413	Increased alpha-globulin			no_match	0		
HP:0005764	Polyarticular arthritis			no_match	0		
HP:0006554	Acute hepatic failure|Acute liver failure			no_match	0		
HP:0006824	Cranial nerve paralysis|Cranial nerve palsies|Cranial nerve palsy|Cranial nerve paresis			no_match	0		
HP:0007256	Abnormal pyramidal sign|Corticospinal signs|Pyramidal signs|Pyramidal tract signs			no_match	0		
HP:0007813	Nongranulomatous uveitis			no_match	0		
HP:0008066	Abnormal blistering of the skin|Blister|Blistering, generalised|Blistering, generalized|Blisters|Skin blisters|Skin bullae			no_match	0		
HP:0008391	Dystrophic fingernails|Poor fingernail formation			no_match	0		
HP:0008843	Hip osteoarthritis|Osteoarthritis of hip			no_match	0		
HP:0009830	Peripheral neuropathy|Neuropathy|Peripheral nerve damage|Peripheral neuritis			no_match	0		
HP:0010783	Erythema|Redness of skin or mucous membrane			no_match	0		
HP:0010885	Avascular necrosis|Aseptic bone necrosis|Aseptic necrosis|Bone infarction|Death of bone due to decreased blood supply|Ischaemic bone necrosis|Ischemic bone necrosis|Osteochondronecrosis|Osteonecrosis			no_match	0		
HP:0011107	Recurrent aphthous stomatitis|Aphthous stomatitis|Buccal aphthous ulcers|Recurrent aphthous ulcers|Recurrent canker sores|Recurrent oral aphthae			no_match	0		
HP:0011227	Elevated circulating C-reactive protein concentration|Elevated C-reactive protein level|Elevated CRP			no_match	0		
HP:0011658	Double outlet right ventricle with subpulmonary ventricular septal defect without pulmonary stenosis|DORV with subpulmonary VSD without pulmonary stenosis|Taussig-Bing anomaly			no_match	0		
HP:0011675	Arrhythmia|Abnormal heart rate|Arrhythmias|Cardiac arrhythmia|Cardiac arrhythmias|Cardiac rhythm disturbances|Heart rhythm disorders|Irregular heart beat|Irregular heartbeat			no_match	0		
HP:0011899	Hyperfibrinogenemia			no_match	0		
HP:0012089	Arteritis|Inflammation of artery			no_match	0		
HP:0012121	Panuveitis			no_match	0		
HP:0012122	Anterior uveitis			no_match	0		
HP:0012219	Erythema nodosum			no_match	0		
HP:0012317	Sacroiliac arthritis|Sacroiliitis			no_match	0		
HP:0012378	Fatigue|Tired|Tiredness			no_match	0		
HP:0012649	Increased inflammatory response			no_match	0		
HP:0012733	Macule|Flat, discolored area of skin|Flat, discoloured area of skin			no_match	0		
HP:0012735	Cough|Coughing			no_match	0		
HP:0012819	Myocarditis|Inflammation of heart muscle			no_match	0		
HP:0020141	Blood pressure substantially higher in legs than arms|Blood pressure substantially higher in lower than upper extremities|Blood pressure substantially lower in arms than legs|Blood pressure substantially lower in upper than lower extremities			no_match	0		
HP:0025532	Positive pathergy test			no_match	0		
HP:0030016	Dyspareunia			no_match	0		
HP:0030164	Jaw claudication|Jaw pain while chewing			no_match	0		
HP:0030166	Night sweats|Nocturnal hyperhidrosis			no_match	0		
HP:0030783	Increased circulating interleukin 6 concentration|Increased serum IL-6|Increased serum interleukin-6			no_match	0		
HP:0031246	Nonproductive cough|Dry cough|Dry coughing			no_match	0		
HP:0032554	Absent pulse			no_match	0		
HP:0033123	Elevated circulating osteopontin level			no_match	0		
HP:0033430	Non-infectious meningitis|Aseptic meningitis			no_match	0		
HP:0033834	Malaise			no_match	0		
HP:0034438	Balanitis			no_match	0		
HP:0040313	Oligoarthritis			no_match	0		
HP:0100326	Immunologic hypersensitivity			no_match	0		
HP:0100518	Dysuria|Dull burning sensation with urination|Painful or difficult urination			no_match	0		
HP:0100543	Cognitive impairment|Abnormality of cognition|Cognitive abnormality|Cognitive defects|Cognitive deficits|Intellectual impairment			no_match	0		
HP:0100545	Arterial stenosis|Narrowing of an artery			no_match	0		
HP:0100576	Amaurosis fugax			no_match	0		
HP:0100584	Endocarditis			no_match	0		
HP:0100614	Myositis|Muscle inflammation			no_match	0		
HP:0100653	Optic neuritis			no_match	0		
HP:0100654	Retrobulbar optic neuritis|Retrobulbar neuritis			no_match	0		
HP:0100686	Enthesitis|Inflammation of sharpey fibers|Inflammation of sharpey fibres			no_match	0		
HP:0100721	Mediastinal lymphadenopathy|Swollen lymph nodes in center of chest|Swollen lymph nodes in centre of chest			no_match	0		
HP:0100735	Hypertensive crisis			no_match	0		
HP:0100749	Chest pain|Chest discomfort|Thoracic pain			no_match	0		
HP:0100758	Gangrene|Death of body tissue due to lack of blood flow or infection			no_match	0		
HP:0100773	Cartilage destruction			no_match	0		
HP:0100776	Recurrent pharyngitis|Pharyngitis, recurrent|Recurrent sore throat			no_match	0		
HP:0100792	Acantholysis|Nikolsky's sign			no_match	0		
HP:0100796	Orchitis|Inflammation of testicles			no_match	0		
HP:0100806	Sepsis|Infection in blood stream			no_match	0		
HP:0100809	Scalp tenderness|Allodynia of scalp|Scalp hypersensitivity|Scalp pain			no_match	0		
HP:0100820	Glomerulopathy|Diseased glomeruli			no_match	0		
HP:0200020	Corneal erosion|Damage to outer layer of the cornea of the eye			no_match	0		
HP:0200034	Papule|Papules|Skin papules			no_match	0		
HP:0200039	Pustule|Pimple|Pustula|Pustular lesion|Pustules|Skin pustule|Skin pustules			no_match	0		
HP:0200042	Skin ulcer|Open skin sore			no_match	0		
HP:0500006	Urethritis			no_match	0		
HP:4000041	AA amyloidosis			no_match	0		
HP:6000502	Elevated circulating calprotectin concentration			no_match	0		
HP:6000944	Carotidynia			no_match	0		
HP:6000945	Asymmetric blood pressure between arms			no_match	0		
HP:0000007	Autosomal recessive inheritance|Autosomal recessive|Autosomal recessive form|Autosomal recessive predisposition|biallelic_autosomal			no_match	0		
HP:0001265	Hyporeflexia|Decreased reflex response|Decreased reflexes			no_match	0		
HP:0001284	Areflexia|Absent deep tendon reflexes|Absent reflexes|Absent tendon reflexes|Deep tendon reflexes absent|Loss of deep tendon reflexes|Lost deep tendon reflexes			no_match	0		
HP:0001315	Reduced tendon reflexes|Absent or decreased deep tendon reflexes|Decreased deep tendon reflexes|Decreased tendon reflexes|Decreased to absent deep tendon reflexes|Decreased/absent deep tendon reflexes|Depressed tendon reflexes|Diminished deep tendon reflexes|Diminished or absent deep tendon reflexes|Diminished or absent tendon reflexes|Hypoactive to absent deep tendon reflexes|Impaired tendon reflexes|Reduced/absent deep tendon reflexes|Weak or absent deep tendon reflexes			no_match	0		
HP:0002098	Respiratory distress|Breathing difficulties|Labored breathing|Laboured breathing|Respiratory difficulties			no_match	0		
HP:0002505	Loss of ambulation|Loss of ability to walk			no_match	0		
HP:0002747	Respiratory insufficiency due to muscle weakness|Decreased lung function due to weak breathing muscles|Decreased respiratory function due to muscle weakness|Respiratory distress due to muscle weakness|Respiratory failure due to muscle weakness|Respiratory muscle weakness			no_match	0		
HP:0003155	Elevated circulating alkaline phosphatase concentration|Elevated alkaline phosphatase|Elevated ALP|Greatly elevated alkaline phosphatase|High serum alkaline phosphatase|Hyperphosphatasemia|Hyperphosphatasia|Increased alkaline phosphatase|Increased serum alkaline phosphatase			no_match	0		
HP:0003236	Elevated circulating creatine kinase concentration|Elevated blood creatine phosphokinase|Elevated circulating creatine phosphokinase|Elevated creatine kinase|Elevated serum CPK|Elevated serum creatine kinase|Elevated serum creatine phosphokinase|High serum creatine kinase|Increased CPK|Increased creatine kinase|Increased creatine phosphokinase|Increased serum CK|Increased serum creatine kinase|Increased serum creatine phosphokinase	Blood creatine phosphokinase increased	Blood creatine phosphokinase increased	override	0		
HP:0003327	Axial muscle weakness			no_match	0		
HP:0003593	Infantile onset|Onset in first year of life|Onset in infancy			no_match	0		
HP:0003596	Middle age onset			no_match	0		
HP:0003621	Juvenile onset|Signs and symptoms begin before 15 years of age			no_match	0		
HP:0003687	Centrally nucleated skeletal muscle fibers|Central nuclei|Centralised nuclei|Centralised sarcomeric nuclei|Centralized nuclei|Centralized sarcomeric nuclei|Centrally nucleated skeletal muscle fibres			no_match	0		
HP:0003701	Proximal muscle weakness|Muscle weakness, proximal|Proximal limb muscle weakness|Proximal limb weakness|Proximal neurogenic muscle weakness|Weakness in muscles of upper arms and upper legs			no_match	0		
HP:0003738	Exercise-induced myalgia|Exercise-induced muscle pain|Muscle pain on exercise|Muscle pain with exercise|Muscle pain, exercise-induced			no_match	0		
HP:0003803	Type 1 muscle fiber predominance|Type 1 muscle fibre predominance|Type I muscle fiber predominance|Type I muscle fibre predominance			no_match	0		
HP:0004379	Abnormality of alkaline phosphatase level|Abnormality of alkaline phosphatase activity|Abnormality of ALP level|Alkaline phosphatase abnormal			no_match	0		
HP:0004887	Respiratory failure requiring assisted ventilation|Respiratory distress necessitating mechanical ventilation|Respiratory distress requiring endotracheal intubation|Respiratory distress requiring mechanical ventilation			no_match	0		
HP:0007210	Lower limb amyotrophy			no_match	0		
HP:0008981	Calf muscle hypertrophy|Calf hypertrophy|Increased size of calf muscles|Muscular hypertrophy of the calf muscles			no_match	0		
HP:0009129	Upper limb amyotrophy|Amyotrophy involving the upper limbs			no_match	0		
HP:0010602	Type 2 muscle fiber predominance|Type 2 muscle fibre predominance|Type II muscle fiber predominance|Type II muscle fibre predominance			no_match	0		
HP:0011463	Childhood onset|Symptoms begin in childhood			no_match	0		
HP:0012240	Increased intramyocellular lipid droplets|Increased muscle lipid droplets			no_match	0		
HP:0025168	Left ventricular diastolic dysfunction			no_match	0		
HP:0030099	Reduced muscle fiber alpha dystroglycan|Reduced muscle fibre alpha dystroglycan			no_match	0		
HP:0031956	Elevated circulating aspartate aminotransferase concentration|Aspartate aminotransferase increased|Elevated serum aspartate aminotransferase|Elevated serum AST|Elevated serum glutamic oxaloacetic transaminase	Aspartate aminotransferase increased	Aspartate aminotransferase increased	override	1	Aspartate aminotransferase increased	Aspartate aminotransferase increased
HP:0031964	Elevated circulating alanine aminotransferase concentration|Alanine aminotransferase increased|Elevated serum alanine aminotransferase|Elevated serum ALT|Elevated serum glutamic-pyruvic transaminase	Alanine aminotransferase increased	Alanine aminotransferase increased	override	1	Alanine aminotransferase increased	Alanine aminotransferase increased
HP:0040081	Abnormal circulating creatine kinase concentration|Abnormal circulating CK concentration|Abnormal circulating CPK concentration|Abnormal circulation phospho-CK concentration|Abnormal levels of creatine kinase in blood			no_match	0		
HP:0100297	Increased endomysial connective tissue|Endomysial fibrosis			no_match	0		
HP:0410174	Increased circulating troponin T concentration|Increased troponin T level in blood			no_match	0		
HP:0410263	Brain imaging abnormality|Abnormal brain imaging			no_match	0		
HP:0000006	Autosomal dominant inheritance|Autosomal dominant|Autosomal dominant form|Autosomal dominant type|monoallelic_autosomal			no_match	0		
HP:0000989	Pruritus|Itching|Itchy skin|Skin itching	Pruritus	Pruritus	unique_auto_match	1	Pruritus	Pruritus
HP:0001197	Abnormality of prenatal development or birth			no_match	0		
HP:0001279	Syncope|Fainting spell			no_match	0		
HP:0001649	Tachycardia|Elevated heart rate|Fast heart rate|Heart racing|Increased heart rate|Racing heart|Rapid heart beat			no_match	0		
HP:0001663	Ventricular fibrillation			no_match	0		
HP:0001664	Torsade de pointes|Torsades de pointes			no_match	0		
HP:0001688	Sinus bradycardia			no_match	0		
HP:0001695	Cardiac arrest|Heart stops beating			no_match	0		
HP:0001909	Leukemia|Blood cancer|Leukaemia			no_match	0		
HP:0002019	Constipation|Costiveness|Dyschezia			no_match	0		
HP:0002045	Hypothermia|Abnormally low body temperature			no_match	0		
HP:0002900	Hypokalemia|Low blood potassium levels			no_match	0		
HP:0002936	Distal sensory impairment|Decreased distal sensation|Decreased sensation in extremities|Distal sensation loss|Distal sensory impairment in lower limbs|Distal sensory impairment of the lower extremities|Distal sensory loss|Distal sensory loss, upper and lower limbs|Loss of distal sensation			no_match	0		
